Plate,Date,Title,Verified
1,Jan 6,Introduction to the class geography of East Asia,✓
2,Jan 8,East Asian Language Religion Culture,✓
3,Jan 10,What is Modernity?,✓
4,Jan 13,Joseon Invaded,✓
5,Jan 15,Rise of Qing Creation of Manchu Empire,✓
6,Jan 17,Qing's Encounter with the West,✓
7,Jan 22,Joseon Reform,✓
8,Jan 24,Rise of Tokugawa,✓
9,Jan 27,Final presentation brainstorm / Current events,✓
10,Jan 29,Qing vs. the West,✓
11,Jan 31,Tokugawa vs. the West,✓
12,Feb 3,Meiji Transformation,✓
13,Feb 5,Taiping and other rebellions,✓
14,Feb 7,Tonghak Rebellion,✓
15,Feb 10,Joseon's Slow Evolution,✓
16,Feb 12,Tonghak in Film,✓
17,Feb 17,Japanese Nationalism - Rise of an empire,✓
18,Feb 19,Korean Nationalism - Rise of a nation,✓
19,Feb 21,Chinese Nationalism - modernity at gunpoint,✓
20,Feb 24,The Pacific War,✓
21,Feb 26,Civil War and Revolution in China,✓
22,Feb 28,Rebuilding Japan,✓
23,March 3,Mao and Beyond Mao,✓
24,March 5,Liberation Division Rebuilding Korea,✓
25,March 7,Japan rises again,✓
